timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T16:49:00.000Z";"2023-08-12T00:22:00.000Z";60.1598609337;60.7282406634;60.0692987114;60.3447463219;52824699.5117398;875778017.1689166;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T00:04:00.000Z";"2023-08-11T19:20:00.000Z";61.0284079435;61.0392779048;59.7400766189;60.1583267419;63177309.07776401;871043941.5132027;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:05:00.000Z";"2023-08-10T09:41:00.000Z";61.3389031582;62.5390433639;60.6520653322;61.0276720648;69576956.64191441;885955342.0207474;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T13:03:00.000Z";"2023-08-09T03:49:00.000Z";60.4850381074;61.7536275815;60.1223034241;61.3425189719;71960760.15050852;891650675.8800815;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:28:00.000Z";"2023-08-08T02:04:00.000Z";58.9340505534;61.0460734025;58.8797346805;60.4883392316;68316496.41010033;874320095.4423767;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T03:34:00.000Z";"2023-08-07T16:19:00.000Z";59.8057020437;60.830056596;57.6789195202;58.9329902858;75775886.83722363;855195611.7075167;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T21:22:00.000Z";"2023-08-06T01:34:00.000Z";58.3861196046;59.9278147225;58.2158661128;59.8035347658;60117953.47044119;865870973.9401125;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T11:16:00.000Z";"2023-08-05T04:51:00.000Z";58.152117158;59.2963443698;57.3986608625;58.3795358135;66261981.16454988;847045445.0780323;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T13:52:00.000Z";"2023-08-04T07:05:00.000Z";57.5433082432;60.3506290725;57.403921103;58.1511997361;82373020.96171655;849441027.4750841;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T02:06:00.000Z";"2023-08-03T23:59:00.000Z";59.0437598195;59.2355145709;57.5526939313;57.5526939313;79925554.60167524;835559097.2115201;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T00:38:00.000Z";"2023-08-02T15:22:00.000Z";59.4671374542;60.7816468946;57.3398697034;59.0550512686;118921678.92917787;851758509.9285583;"2023-08-02T23:59:59.999Z"
