Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,1.990456,2.033312,1.700155,1.751201,1.751201,188157641
2020-12-09,1.748256,1.909933,1.631353,1.836807,1.836807,158914259
2020-12-10,1.835442,1.847480,1.730386,1.782246,1.782246,108966751
2020-12-11,1.779938,1.780518,1.565693,1.594282,1.594282,119884471
2020-12-12,1.592422,1.822823,1.590977,1.773323,1.773323,96612849
2020-12-13,1.775199,1.996167,1.774792,1.966215,1.966215,130349788
2020-12-14,1.964350,2.127522,1.853674,2.109949,2.109949,140275179
2020-12-15,2.109617,2.297469,2.084551,2.247962,2.247962,212114507
2020-12-16,2.245048,2.418450,2.111594,2.330350,2.330350,256871895
2020-12-17,2.331076,2.422086,2.158456,2.189154,2.189154,217390051
2020-12-18,2.189254,2.331360,2.117351,2.309594,2.309594,140512307
2020-12-19,2.308981,2.505305,2.215486,2.347410,2.347410,195529552
2020-12-20,2.347901,2.392339,2.164296,2.211191,2.211191,143718200
2020-12-21,2.211336,2.274676,1.999154,2.055069,2.055069,149952008
2020-12-22,2.054571,2.255562,1.884709,2.233082,2.233082,184811160
2020-12-23,2.231231,2.262475,1.074845,1.789026,1.789026,252511047
2020-12-24,1.798355,2.131576,1.632605,2.119404,2.119404,246230675
2020-12-25,2.118845,2.192971,1.945341,2.074809,2.074809,161785614
2020-12-26,2.076667,2.078038,1.908899,1.950022,1.950022,137428639
2020-12-27,1.952049,2.208061,1.885307,2.150905,2.150905,205095541
2020-12-28,2.153115,2.359442,2.106064,2.142797,2.142797,205279258
2020-12-29,2.142323,2.176073,1.942230,2.052247,2.052247,153164725
2020-12-30,2.048841,2.225957,1.951523,2.117045,2.117045,168769017
2020-12-31,2.112083,2.382507,2.000906,2.343702,2.343702,201835522
2021-01-01,2.344029,2.740426,2.294635,2.740426,2.740426,324070084
2021-01-02,2.740250,2.766544,2.520590,2.633702,2.633702,303826236
2021-01-03,2.634580,2.926100,2.469387,2.808992,2.808992,335397228
2021-01-04,2.813368,3.370301,2.634283,2.908934,2.908934,458242981
2021-01-05,2.911402,3.242561,2.561091,3.143139,3.143139,442337844
2021-01-06,3.142245,3.349017,2.903816,3.149998,3.149998,336929625
2021-01-07,3.152678,3.555899,2.972699,3.211653,3.211653,332503142
2021-01-08,3.214057,3.648014,2.680433,3.518097,3.518097,414983314
2021-01-09,3.517044,4.077970,3.422361,3.821403,3.821403,448073842
2021-01-10,3.822958,3.978731,3.344288,3.608187,3.608187,317991534
2021-01-11,3.607615,3.613207,2.634395,3.181690,3.181690,423212516
2021-01-12,3.179020,3.810408,3.062340,3.478024,3.478024,400956661
2021-01-13,3.478810,4.261904,3.276517,4.203090,4.203090,455933908
2021-01-14,4.202903,4.742384,4.118753,4.595213,4.595213,489525904
2021-01-15,4.616441,5.544743,4.462635,5.312739,5.312739,721428126
2021-01-16,5.313875,6.189341,5.072615,5.925052,5.925052,614611630
2021-01-17,5.920927,6.444247,5.645987,5.838509,5.838509,614914665
2021-01-18,5.839801,6.380059,5.700898,6.186227,6.186227,500713008
2021-01-19,6.187597,6.360821,5.273021,5.429849,5.429849,474902343
2021-01-20,5.413720,6.038985,5.024754,6.013037,6.013037,517267921
2021-01-21,6.024883,6.039830,4.502216,4.621715,4.621715,541410268
2021-01-22,4.612495,5.737667,4.310426,5.546399,5.546399,505625534
2021-01-23,5.539367,6.099617,5.433146,5.789575,5.789575,439738920
2021-01-24,5.792659,6.946908,5.749781,6.866301,6.866301,594346394
2021-01-25,6.856946,7.531680,6.128310,6.302261,6.302261,838346125
2021-01-26,6.296440,6.894663,5.605509,6.665763,6.665763,896538254
2021-01-27,6.676613,6.719039,5.783804,5.867165,5.867165,670320455
2021-01-28,5.860481,7.170176,5.777789,6.836598,6.836598,715734723
2021-01-29,6.995807,7.419591,6.437698,7.419591,7.419591,687596154
2021-01-30,7.412815,8.507028,6.925880,8.500892,8.500892,766789557
2021-01-31,8.524607,9.040988,7.979208,8.377949,8.377949,1090006423
2021-02-01,8.367194,10.794726,8.073297,10.744743,10.744743,1048183106
2021-02-02,10.763601,11.396241,10.155874,10.532077,10.532077,940102253
2021-02-03,10.534341,12.348675,10.389967,11.824100,11.824100,854482806
2021-02-04,11.816096,13.771066,11.663059,12.909733,12.909733,1000559009
2021-02-05,12.899574,13.220424,12.305026,12.434742,12.434742,631101747
2021-02-06,12.434104,12.750611,11.049322,11.487444,11.487444,801519904
2021-02-07,11.473568,11.606306,9.562536,10.919241,10.919241,673261037
2021-02-08,10.904409,12.170376,10.554460,11.725848,11.725848,664627501
2021-02-09,11.719419,12.343087,11.289790,11.837041,11.837041,573999688
2021-02-10,11.819957,13.039419,11.423925,12.284086,12.284086,784084152
2021-02-11,12.272534,14.398972,11.718547,13.945878,13.945878,742179569
2021-02-12,13.911627,14.242092,13.001885,13.689062,13.689062,601091879
2021-02-13,13.690727,14.210840,12.955696,13.195961,13.195961,443678148
2021-02-14,13.198373,13.468132,12.278698,12.372530,12.372530,398921649
2021-02-15,12.353524,15.122299,10.666203,14.211583,14.211583,948121775
2021-02-16,14.199879,14.745314,12.908767,13.612211,13.612211,554359223
2021-02-17,13.613401,14.204353,12.163853,13.452698,13.452698,628144740
2021-02-18,13.439501,14.052983,12.850709,13.067865,13.067865,348499123
2021-02-19,13.077505,13.141451,11.536394,11.994487,11.994487,541202862
2021-02-20,11.995695,16.216961,11.984073,15.208654,15.208654,1576289416
2021-02-21,15.170512,15.942900,13.961306,14.317639,14.317639,549125775
2021-02-22,14.308205,14.316216,11.201273,13.648045,13.648045,880661899
2021-02-23,13.648197,14.195358,9.874067,12.083553,12.083553,937611299
2021-02-24,12.128205,12.951459,11.278496,12.093480,12.093480,494510071
2021-02-25,12.086612,13.965825,11.743238,11.764363,11.764363,717655632
2021-02-26,11.819506,13.628650,10.845764,12.657212,12.657212,814924250
2021-02-27,12.672175,14.529613,12.672175,13.456169,13.456169,669248898
2021-02-28,13.468463,13.518576,11.392690,12.434900,12.434900,588992828
2021-03-01,12.448393,15.603409,12.417876,15.601332,15.601332,730694859
2021-03-02,15.611143,17.072201,14.002303,14.825392,14.825392,1481145966
2021-03-03,14.800717,15.821048,14.281604,14.513080,14.513080,622398422
2021-03-04,14.493857,15.648017,14.223911,14.486688,14.486688,586824927
2021-03-05,14.478407,14.482200,13.168069,13.999391,13.999391,443705461
2021-03-06,13.985142,14.282530,13.266647,13.953893,13.953893,286805513
2021-03-07,13.957068,15.108008,13.726411,14.967741,14.967741,412995138
2021-03-08,14.992420,15.238770,14.127859,14.555048,14.555048,396499034
2021-03-09,14.560309,16.897718,14.479488,16.541775,16.541775,700796838
2021-03-10,16.535988,16.622858,14.858882,15.073414,15.073414,422673622
2021-03-11,15.058759,16.031172,14.290622,15.526657,15.526657,512256903
2021-03-12,15.533583,16.361034,15.201057,16.264427,16.264427,581435197
2021-03-13,16.267281,19.561432,15.925805,19.163528,19.163528,1128099192
2021-03-14,19.126877,19.239365,17.105244,17.393789,17.393789,547848524
2021-03-15,17.347784,18.277159,16.439362,16.604013,16.604013,465062467
2021-03-16,16.607985,17.176764,15.731415,16.970341,16.970341,393820317
2021-03-17,16.974369,17.093960,16.103271,16.613106,16.613106,271172030
2021-03-18,16.598860,17.002993,16.438284,16.598448,16.598448,279046089
2021-03-19,16.582424,17.269485,16.046715,17.027452,17.027452,287326447
2021-03-20,17.016106,17.593493,16.340269,16.340269,16.340269,246644224
2021-03-21,16.339096,16.515791,15.449937,15.881568,15.881568,299986984
2021-03-22,15.886827,16.073570,14.547846,14.593170,14.593170,296267891
2021-03-23,14.583854,14.938343,13.829700,13.929131,13.929131,311676779
2021-03-24,13.916617,14.737395,12.402895,12.716034,12.716034,341583404
2021-03-25,12.697731,13.003772,12.026986,12.637012,12.637012,416220194
2021-03-26,12.630764,14.332959,12.618950,14.274845,14.274845,301202943
2021-03-27,14.271822,14.367270,13.461818,13.722750,13.722750,210761393
2021-03-28,13.719184,13.911455,12.650306,12.953861,12.953861,239386312
2021-03-29,12.953536,13.631798,12.792426,13.449865,13.449865,285035185
2021-03-30,13.444461,13.573835,13.008319,13.163668,13.163668,234669306
2021-03-31,13.163653,13.356887,12.100603,12.509610,12.509610,368403691
2021-04-01,12.517982,12.983814,12.423178,12.638402,12.638402,312310950
